protein1	protein2	confidence
UNK	ARL6IP1	0.169
UNK	ARPC2	0.176
UNK	ARPC4-TTLL3	0.169
UNK	ATP2A2	0.166
UNK	ATP2B1	0.162
UNK	ATP5A1	0.176
UNK	ATP5O	0.169
UNK	ATP6AP2	0.176
UNK	ATP6V1B2	0.434
UNK	ATP6V1F	0.774
UNK	ATP6V1H	0.188
UNK	ATPIF1	0.176
UNK	BCLAF1	0.176
UNK	BFAR	0.174
UNK	BIRC6	0.194
UNK	BRD3	0.19
UNK	CALM1	0.158
UNK	CALM2	0.158
UNK	CALM3	0.152
UNK	CBX3	0.162
UNK	CBX5	0.154
UNK	CCT4	0.183
UNK	CCT5	0.176
UNK	CCT8	0.169
UNK	CDC42	0.165
UNK	CHMP5	0.184
UNK	CKAP5	0.192
UNK	CLTC	0.172
UNK	CNIH4	0.166
UNK	CNOT8	0.176
UNK	COMMD6	0.176
UNK	COPA	0.209
UNK	COPB2	0.197
UNK	COPS3	0.176
UNK	COPS9	0.176
UNK	COX5A	0.183
UNK	COX7A2	0.176
UNK	COX7B	0.169
UNK	CSDE1	0.203
UNK	CSE1L	0.176
UNK	CSNK2B	0.169
UNK	CSTF3	0.227
UNK	CTNNA1	0.184
UNK	CTNNB1	0.184
UNK	CTSB	0.155
UNK	CUL2	0.176
UNK	CUL4A	0.169
UNK	DHX15	0.196
UNK	DHX36	0.173
UNK	DNM1L	0.17
UNK	DPY30	0.176
UNK	DPYSL2	0.16
UNK	DST	0.173
UNK	DSTN	0.439
UNK	DYNC1H1	0.164
UNK	EEF1A1	0.181
UNK	EEF2	0.175
UNK	EIF3A	0.176
UNK	EIF3E	0.176
UNK	EIF3H	0.181
UNK	EIF4A1	0.184
UNK	EIF4A2	0.184
UNK	EIF4G1	0.156
UNK	EIF4G2	0.183
UNK	EIF4H	0.17
UNK	EMC6	0.176
UNK	FAM13B	0.17
UNK	FAM49B	0.169
UNK	FBXO11	0.184
UNK	FOXP1	0.188
UNK	GARS	0.169
UNK	GDI1	0.164
UNK	GDI2	0.164
UNK	GFPT1	0.179
UNK	GGPS1	0.176
UNK	GHITM	0.176
UNK	GLS	0.168
UNK	GLUD1	0.174
UNK	GPR85	0.158
UNK	GTF2H5	0.176
UNK	H2AFY	0.242
UNK	HAT1	0.176
UNK	HDAC2	0.182
UNK	HERC1	0.166
UNK	HINT1	0.177
UNK	HMGCR	0.198
UNK	HNRNPAB	0.17
UNK	HNRNPDL	0.157
UNK	HNRNPH1	0.169
UNK	HNRNPL	0.172
UNK	HNRNPU	0.154
UNK	HSP90AA1	0.201
UNK	HSP90AB1	0.196
UNK	HSPA9	0.181
UNK	HSPD1	0.198
UNK	HSPE1	0.176
UNK	HUWE1	0.174
UNK	ID3	0.176
UNK	IGBP1	0.456
UNK	IP6K2	0.407
UNK	IPO7	0.192
UNK	IPO9	0.188
UNK	ITGB1	0.16
UNK	ITM2B	0.157
UNK	JPT1	0.183
UNK	KDM1A	0.211
UNK	KPNA4	0.228
UNK	KPNA6	0.228
UNK	KPNB1	0.193
UNK	KRAS	0.17
UNK	LDHA	0.162
UNK	LEPROTL1	0.18
UNK	LRRC58	0.19
UNK	LUC7L3	0.164
UNK	MAPRE1	0.17
UNK	MARCH5	0.192
UNK	MATR3	0.183
UNK	MCL1	0.215
UNK	MCMBP	0.176
UNK	MED14	0.186
UNK	MFSD14B	0.165
UNK	MGA	0.166
UNK	MGST3	0.176
UNK	MINOS1	0.176
UNK	MKLN1	0.176
UNK	MLLT6	0.164
UNK	MSH6	0.226
UNK	MTA2	0.254
UNK	MTMR2	0.174
UNK	NAP1L4	0.192
UNK	NCBP1	0.208
UNK	NCL	0.176
UNK	NDFIP1	0.169
UNK	NFIB	0.163
UNK	NPAT	0.188
UNK	NUFIP2	0.176
UNK	NUP155	0.186
UNK	NUP98	0.174
UNK	OCIAD1	0.186
UNK	OGDH	0.171
UNK	OGT	0.202
UNK	OPA1	0.182
UNK	PAICS	0.503
UNK	PARK7	0.176
UNK	PCBP1	0.18
UNK	PDCD10	0.176
UNK	PDCD4	0.22
UNK	PDIA3	0.161
UNK	PDIA6	0.163
UNK	PHB2	0.232
UNK	PICALM	0.164
UNK	PJA2	0.268
UNK	PKN2	0.177
UNK	PLAA	0.185
UNK	PLK2	0.217
UNK	PLS3	0.169
UNK	PNRC1	0.176
UNK	POLR2A	0.178
UNK	POLR2H	0.176
UNK	PPID	0.181
UNK	PPP1CB	0.169
UNK	PPP1R15B	0.185
UNK	PPP2CA	0.214
UNK	PPP6R3	0.175
UNK	PRDX3	0.196
UNK	PRRC2B	0.174
UNK	PSEN1	0.175
UNK	PSMB1	0.176
UNK	PTGES3	0.167
UNK	PTPRF	0.22
UNK	RAB14	0.176
UNK	RAB1A	0.159
UNK	RAB5A	0.177
UNK	RACK1	0.169
UNK	RAD21	0.174
UNK	RANBP9	0.164
UNK	RAP1A	0.158
UNK	RBFOX2	0.172
UNK	RER1	0.176
UNK	RLIM	0.268
UNK	RPA3	0.197
UNK	RPL22L1	0.164
UNK	RPL30	0.176
UNK	RPS27L	0.164
UNK	RPS3	0.176
UNK	RRN3	0.176
UNK	RTN4	0.154
UNK	S100A4	0.503
UNK	S100A9	0.439
UNK	SAFB	0.174
UNK	SDCBP	0.162
UNK	SDHC	0.183
UNK	SEC24A	0.429
UNK	SERINC1	0.164
UNK	SF3B3	0.186
UNK	SFPQ	0.174
UNK	SHTN1	0.774
UNK	SIN3A	0.172
UNK	SKIV2L2	0.174
UNK	SLC25A3	0.176
UNK	SLC38A1	0.17
UNK	SLC38A2	0.17
UNK	SNRPE	0.176
UNK	SPCS1	0.176
UNK	SPTBN1	0.167
UNK	SRRM2	0.174
UNK	SRXN1	0.774
UNK	STAM	0.503
UNK	STT3B	0.178
UNK	SUB1	0.176
UNK	TCP1	0.162
UNK	TFG	0.176
UNK	TMEM30A	0.167
UNK	TMPO	0.186
UNK	TNPO3	0.182
UNK	TOMM70	0.176
UNK	TOP2A	0.171
UNK	TOP2B	0.164
UNK	TRAPPC8	0.187
UNK	TRIP6	0.685
UNK	TROVE2	0.183
UNK	TSC22D1	0.164
UNK	TTLL12	0.774
UNK	TUBB	0.158
UNK	TXN	0.191
UNK	TXNL1	0.176
UNK	TYMS	0.774
UNK	UBA1	0.177
UNK	UBA2	0.774
UNK	UBA52	0.688
UNK	UBE2A	0.714
UNK	UBE2B	0.796
UNK	UBE2C	0.789
UNK	UBE2D1	0.775
UNK	UBE2G1	0.18
UNK	UBQLN1	0.782
UNK	UBXN1	0.6
UNK	UCHL3	0.609
UNK	UFC1	0.774
UNK	UGP2	0.176
UNK	USMG5	0.176
UNK	USP14	0.167
UNK	USP34	0.778
UNK	USP9X	0.778
UNK	VCL	0.18
UNK	VPS26A	0.503
UNK	VPS35	0.176
UNK	WAC	0.186
UNK	XPO1	0.187
UNK	YAP1	0.774
UNK	YBX1	0.173
UNK	YIPF4	0.176
UNK	YIPF6	0.204
UNK	YME1L1	0.176
UNK	YWHAB	0.177
UNK	YWHAE	0.177
UNK	YWHAG	0.177
UNK	YWHAZ	0.177
UNK	ZFYVE19	0.779
UNK	ZRANB2	0.778
UNKL	PREPL	0.608
UPF1	ABCF3	0.453
UPF1	ACD	0.36
UPF1	ACSS2	0.205
UPF1	ADAR	0.788
UPF1	ATR	0.563
UPF1	CASC3	0.973
UPF1	DDIT4L	0.415
UPF1	DDX6	0.814
UPF1	DEK	0.62
UPF1	DIAPH1	0.801
UPF1	DNA2	0.361
UPF1	DRG1	0.172
UPF1	DXO	0.645
UPF1	EDC3	0.83
UPF1	EIF2S2	0.483
UPF1	EIF3A	0.619
UPF1	EIF3B	0.664
UPF1	EIF3F	0.42
UPF1	EXOSC10	0.766
UPF1	EXOSC2	0.434
UPF1	EZH2	0.284
UPF1	GSPT1	0.994
UPF1	GSPT2	0.981
UPF1	GSTM1	0.36
UPF1	HBB	0.286
UPF1	HDAC5	0.224
UPF1	HIRA	0.254
UPF1	HNRNPR	0.537
UPF1	INTS6	0.355
UPF1	IVNS1ABP	0.197
UPF1	JPT2	0.415
UPF1	KDM4A	0.295
UPF1	LIN28A	0.301
UPF1	LSM8	0.288
UPF1	NADSYN1	0.281
UPF1	NCBP1	0.991
UPF1	NCBP2	0.982
UPF1	NDRG1	0.157
UPF1	NPIPB13	0.786
UPF1	NXF1	0.807
UPF1	OAZ1	0.151
UPF1	PABPC1	0.99
UPF1	PABPN1	0.54
UPF1	PARN	0.495
UPF1	PCGF1	0.152
UPF1	PNRC1	0.324
UPF1	POP1	0.226
UPF1	POU5F1	0.155
UPF1	PTBP3	0.263
UPF1	RAI1	0.596
UPF1	RPRD2	0.24
UPF1	SAMD1	0.153
UPF1	SLBP	0.758
UPF1	SMG1	0.998
UPF1	SMG5	0.998
UPF1	SMG6	0.998
UPF1	SMG7	0.997
UPF1	SMG8	0.99
UPF1	SMG9	0.984
UPF1	SNRPB	0.404
UPF1	SNRPN	0.367
UPF1	SRRM1	0.626
UPF1	TARDBP	0.269
UPF1	TMX1	0.503
UPF1	TSG101	0.193
UPF1	UPF2	0.999
UPF1	UPF3A	0.999
UPF1	UPF3B	0.998
UPF1	URM1	0.36
UPF1	VPS35	0.788
UPF1	XRN1	0.936
UPF2	AGPAT1	0.159
UPF2	TRIP10	0.417
UPF2	ZNF44	0.191
UPF3A	CASC3	0.988
UPF3A	NPIPB13	0.36
UPF3A	PHF8	0.204
UPF3A	PIGT	0.162
UPF3A	UPF2	0.999
UPF3B	CASC3	0.989
UPF3B	NPIPB13	0.189
UPF3B	RBBP6	0.35
UPF3B	SMG6	0.987
UPF3B	TOP2A	0.533
UPF3B	UPF2	0.999
UPF3B	UPF3A	0.944
UPF3B	USP16	0.377
UPK1B	BNIP2	0.326
UPK1B	UPK3B	0.873
UPK3A	UPK1B	0.946
UPP1	UCK2	0.977
UPP1	VIM	0.371
UPRT	MPPED1	0.778
UPRT	UCK1	0.973
UPRT	UCK2	0.998
UPRT	UCKL1	0.999
UQCC1	COX20	0.379
UQCC1	ECHDC2	0.197
UQCC2	COX20	0.493
UQCC2	PLPPR2	0.168
UQCC2	UQCC1	0.742
UQCR10	CYSTM1	0.779
UQCR10	ERBB3	0.187
UQCR10	GPM6A	0.161
UQCR10	KPNB1	0.161
UQCRB	ACCS	0.419
UQCRB	APOOL	0.608
UQCRB	COX5A	0.989
UQCRB	COX6B1	0.966
UQCRB	COX7A2L	0.479
UQCRB	CYTB	0.998
UQCRB	DDOST	0.417
UQCRB	MAGEA4	0.385
UQCRB	NDUFB11	0.624
UQCRB	NDUFB8	0.696
UQCRB	PTPMT1	0.604
UQCRB	RABL6	0.178
UQCRB	RPL14	0.489
UQCRB	RPL23	0.483
UQCRB	RPS16	0.498
UQCRB	S100A10	0.167
UQCRB	SDHA	0.841
UQCRB	SLC25A17	0.503
UQCRB	TIMM10	0.527
UQCRB	UQCR10	0.998
UQCRB	UQCRC1	0.999
UQCRB	UQCRC2	0.999
UQCRB	UQCRH	0.996
UQCRB	UQCRQ	0.999
UQCRC1	ABCB7	0.56
UQCRC1	ATP5B	0.964
UQCRC1	GOLT1B	0.154
UQCRC1	HMGXB3	0.153
UQCRC1	HNRNPD	0.241
UQCRC1	HSPA1L	0.576
UQCRC1	HTT	0.184
UQCRC1	LMAN1	0.417
UQCRC1	MMGT1	0.402
UQCRC1	NLGN3	0.171
UQCRC1	PLEC	0.526
UQCRC1	RTN4	0.36
UQCRC1	SLC25A4	0.738
UQCRC1	SNRPF	0.22
UQCRC1	UBC	0.231
UQCRC1	UQCR10	0.995
UQCRC1	UQCRC2	0.999
UQCRC1	UQCRQ	0.998
UQCRC2	AFG3L2	0.514
UQCRC2	ATAD3A	0.46
UQCRC2	ATP5B	0.973
UQCRC2	ATP5J	0.852
UQCRC2	ATP5O	0.982
UQCRC2	CCT6B	0.455
UQCRC2	CCT7	0.554
UQCRC2	CLTC	0.467
UQCRC2	COPB1	0.432
UQCRC2	COX2	0.937
UQCRC2	CYP27A1	0.422
UQCRC2	DDOST	0.442
UQCRC2	DDX39B	0.495
UQCRC2	EHD4	0.455
UQCRC2	GANAB	0.471
UQCRC2	GOLT1B	0.196
UQCRC2	HDAC5	0.167
UQCRC2	HSD17B12	0.446
UQCRC2	HTT	0.29
UQCRC2	HUWE1	0.165
UQCRC2	IDH3A	0.638
UQCRC2	IPO5	0.443
UQCRC2	KCND3	0.277
UQCRC2	LMAN1	0.417
UQCRC2	MTCH2	0.465
UQCRC2	NDUFB5	0.81
UQCRC2	NDUFB7	0.601
UQCRC2	NDUFB8	0.884
UQCRC2	RAB10	0.417
UQCRC2	RAB1B	0.425
UQCRC2	RAB6B	0.428
UQCRC2	RAP1B	0.5
UQCRC2	RPN1	0.442
UQCRC2	RPSA	0.625
UQCRC2	RTN4	0.402
UQCRC2	SCD	0.451
UQCRC2	SCD5	0.44
UQCRC2	SLAMF1	0.187
UQCRC2	SRSF5	0.561
UQCRC2	SSR1	0.461
UQCRC2	SSR2	0.445
UQCRC2	SSR3	0.426
UQCRC2	SSR4	0.432
UQCRC2	TMCO1	0.429
UQCRC2	TPM2	0.44
UQCRC2	UBR5	0.421
UQCRC2	UQCRQ	0.999
UQCRC2	ZNF326	0.503
UQCRFS1	ABCC2	0.446
UQCRFS1	ATP5J	0.59
UQCRFS1	ATPIF1	0.638
UQCRFS1	BCS1L	0.764
UQCRFS1	COX6B1	0.931
UQCRFS1	COX6C	0.72
UQCRFS1	CYB5B	0.506
UQCRFS1	CYTB	0.999
UQCRFS1	ERGIC1	0.503
UQCRFS1	GAA	0.417
UQCRFS1	GOLT1B	0.158
UQCRFS1	ILVBL	0.749
UQCRFS1	MGAT4B	0.503
UQCRFS1	MPST	0.595
UQCRFS1	NDUFA13	0.864
UQCRFS1	NDUFB8	0.732
UQCRFS1	NDUFV1	0.926
UQCRFS1	OAT	0.453
UQCRFS1	PELI2	0.325
UQCRFS1	PELI3	0.325
UQCRFS1	PGM1	0.542
UQCRFS1	PHGDH	0.436
UQCRFS1	PTPMT1	0.604
UQCRFS1	RAB14	0.509
UQCRFS1	SCAF4	0.7
UQCRFS1	SDHA	0.928
UQCRFS1	SDHAF2	0.575
UQCRFS1	SELENBP1	0.505
UQCRFS1	SEPT9	0.509
UQCRFS1	SRSF3	0.437
UQCRFS1	TIMM9	0.57
UQCRFS1	TPI1	0.52
UQCRFS1	TXNDC17	0.435
UQCRFS1	UQCRB	0.999
UQCRFS1	UQCRC1	0.999
UQCRFS1	UQCRQ	0.999
UQCRFS1	XPNPEP1	0.424
UQCRFS1	ZNF454	0.789
UQCRH	ARL8A	0.324
UQCRH	NENF	0.51
UQCRH	NPM1	0.247
UQCRH	RNF24	0.269
UQCRH	SLC15A2	0.417
UQCRQ	AFG3L2	0.779
UQCRQ	ATP5J2	0.915
UQCRQ	ATP5L	0.976
UQCRQ	CLPTM1L	0.503
UQCRQ	CLTC	0.417
UQCRQ	CPT2	0.437
UQCRQ	CYSTM1	0.503
UQCRQ	DDOST	0.417
UQCRQ	DNAJA3	0.508
UQCRQ	EIF3F	0.182
UQCRQ	GPD2	0.417
UQCRQ	HAUS2	0.157
UQCRQ	ILVBL	0.774
UQCRQ	IMMT	0.512
UQCRQ	LMAN1	0.417
UQCRQ	NDUFA2	0.908
UQCRQ	NDUFB7	0.958
UQCRQ	PDCD6IP	0.417
UQCRQ	RAB1B	0.417
UQCRQ	SFXN3	0.774
UQCRQ	SGPL1	0.417
UQCRQ	SSBP1	0.503
UQCRQ	TMCO1	0.866
UQCRQ	TRABD	0.182
UQCRQ	TROVE2	0.417
UQCRQ	UQCR11	0.982
URB1	NPM1	0.19
URB1	RPL14	0.152
URB2	IFI16	0.175
URB2	LMNA	0.36
URI1	ACTA2	0.368
URI1	CDC73	0.41
URI1	CTR9	0.377
URI1	DMAP1	0.363
URI1	GPN1	0.268
URI1	GTF2F1	0.394
URI1	GTF2F2	0.438
URI1	HERC2	0.193
URI1	HSF2	0.194
URI1	ITCH	0.397
URI1	KRAS	0.19
URI1	LEO1	0.444
URI1	NEDD4	0.386
URI1	OGT	0.298
URI1	PAF1	0.399
URI1	PDRG1	0.428
URI1	PFDN2	0.884
URI1	PFDN5	0.22
URI1	PHLDA3	0.774
URI1	PIH1D1	0.78
URI1	POLR1A	0.174
URI1	POLR2A	0.934
URI1	POLR2E	0.989
URI1	POLR3E	0.215
URI1	PPP1CA	0.634
URI1	PPP1CC	0.569
URI1	PPP1R7	0.179
URI1	RPA1	0.164
URI1	RPAP2	0.25
URI1	RPS6KB1	0.397
URI1	RUVBL1	0.916
URI1	RUVBL2	0.717
URI1	SCP2	0.177
URI1	STAP1	0.36
URI1	TTI1	0.779
URI1	UXT	0.435
URM1	ATP6V1A	0.774
URM1	CTU1	0.997
URM1	DDX6	0.36
URM1	DSTN	0.51
URM1	GDPGP1	0.417
URM1	HPX	0.36
URM1	LCN2	0.36
URM1	MOCS3	0.99
URM1	NUP160	0.36
URM1	RNF20	0.507
URM1	SERBP1	0.36
URM1	TF	0.36
URM1	TXNL1	0.774
URM1	VIPR2	0.51
UROD	CHRAC1	0.369
UROD	EGFR	0.284
UROD	FAM84B	0.36
UROD	MTAP	0.426
UROD	MYCBP	0.417
UROD	SLC46A1	0.401
UROD	TIPRL	0.417
UROD	WDR45B	0.375
UROS	BOLA1	0.178
UROS	MOCS1	0.199
USB1	BCAS2	0.61
USB1	BUD31	0.774
USB1	CCDC12	0.597
USB1	CDC40	0.36
USB1	CRNKL1	0.774
USB1	DHX35	0.774
USB1	EAPP	0.774
USB1	GPATCH1	0.774
USB1	ISY1	0.774
USB1	KNSTRN	0.151
USB1	PLRG1	0.36
USB1	PPIE	0.774
USB1	PRPF19	0.39
USB1	RBM22	0.256
USB1	SMIM12	0.506
USB1	SNX27	0.24
USB1	SYF2	0.774
USB1	TOMM5	0.506
USB1	XAB2	0.774
USE1	BNIP1	0.992
USE1	BSCL2	0.202
USE1	C19orf25	0.158
USE1	LPL	0.151
USE1	MGLL	0.183
USE1	NAPA	0.996
USE1	SCFD2	0.774
USE1	STX18	0.999
USE1	STX5	0.969
USE1	TYW5	0.611
USF1	ADAMTS12	0.357
USF1	AFG3L2	0.157
USF1	CHAF1A	0.242
USF1	CHD8	0.36
USF1	COX2	0.152
USF1	DICER1	0.313
USF1	E2F3	0.437
USF1	ESCO2	0.252
USF1	FASN	0.647
USF1	FOSL1	0.456
USF1	GTF2IRD1	0.46
USF1	GTF3C1	0.454
USF1	KIF21B	0.156
USF1	MCAT	0.187
USF1	NFYA	0.517
USF1	PCF11	0.186
USF1	PLXNA3	0.179
USF1	PRKDC	0.587
USF1	PRMT1	0.648
USF1	PSG4	0.182
USF1	RCL1	0.157
USF1	SAMD9L	0.595
USF1	SREBF1	0.351
USF1	TCF3	0.523
USF1	TCFL5	0.36
USF1	TNFRSF10C	0.235
USF1	TOP2B	0.242
USF1	TRMT13	0.41
USF1	UBR4	0.153
USF2	ADAMTS12	0.373
USF2	BIRC5	0.307
USF2	MAF	0.464
USF2	NFYA	0.489
USF2	NPM1	0.192
USF2	PSG4	0.182
USF2	S100A8	0.164
USF2	TEAD2	0.348
USF2	TUSC2	0.354
USF2	USF1	0.435
USH1C	ADGRV1	0.842
USH1C	ANKS4B	0.811
USH1C	CDH23	0.993
USH1C	CDHR2	0.528
USH1C	CDHR5	0.512
USH1C	CTNNAL1	0.342
USH1C	GPS1	0.177
USH1C	MYO7A	0.938
USH1C	MYO7B	0.685
USH1C	RAC1	0.375
USH1C	SAAL1	0.503
USH1C	UBA1	0.509
USH1C	USH1G	0.918
USH1C	USH2A	0.904
USH1C	USHBP1	0.817
USH1C	USP46	0.169
USH1C	WDR48	0.15
USH1C	WDR61	0.503
USH2A	COL4A3	0.484
USH2A	FOXRED2	0.197
USHBP1	BFSP2	0.478
USHBP1	INPP1	0.182
USHBP1	TXLNB	0.173
USO1	ACTL6A	0.151
USO1	AKAP9	0.156
USO1	BET1	0.993
USO1	BET1L	0.985
USO1	CAP1	0.155
USO1	CASP3	0.519
USO1	CASP8	0.36
USO1	CCDC168	0.2
USO1	CEP68	0.2
USO1	CLTC	0.298
USO1	CSNK2B	0.387
USO1	CTTN	0.417
USO1	DUSP1	0.219
USO1	DUSP12	0.219
USO1	ERP44	0.417
USO1	FAM184A	0.204
USO1	GABPB1	0.159
USO1	GABPB2	0.159
USO1	GAK	0.239
USO1	GBF1	0.954
USO1	GOLGA2	0.996
USO1	GOLGB1	0.991
USO1	GOSR1	0.988
USO1	GOSR2	0.992
USO1	GTSE1	0.359
USO1	HSP90B1	0.533
USO1	HUWE1	0.205
USO1	KHDRBS1	0.466
USO1	MAPK3	0.3
USO1	NSF	0.962
USO1	PDE4DIP	0.2
USO1	PHYKPL	0.325
USO1	PLCG1	0.36
USO1	POLE3	0.417
USO1	RAB1A	0.994
USO1	RNF114	0.183
USO1	SCFD1	0.996
USO1	SEC16A	0.61
USO1	SEC22A	0.991
USO1	SETD9	0.597
USO1	STX5	0.993
USO1	STXBP1	0.734
USO1	TRAF3	0.2
USO1	TRIP11	0.421
USO1	TXNDC11	0.245
USO1	VCL	0.515
USO1	XIAP	0.503
USO1	XPO7	0.323
USO1	YKT6	0.998
USO1	ZNF593	0.503
USP1	ACSM1	0.174
USP1	ALDH16A1	0.496
USP1	ATAD5	0.611
USP1	CALML5	0.519
USP1	CERK	0.181
USP1	FANCD2	0.981
USP1	FLG	0.488
USP1	FZR1	0.406
USP1	HSPB1	0.218
USP1	KATNA1	0.201
USP1	KPNA5	0.519
USP1	LGALS7B	0.211
USP1	PHF7	0.157
USP1	PHLPP2	0.689
USP1	RSRP1	0.155
USP1	SLC18B1	0.649
USP1	SOCS6	0.324
USP1	UBC	0.962
USP1	UNC45A	0.774
USP1	USP43	0.549
USP1	VPS36	0.774
USP1	WDR48	0.999
USP10	ABCD3	0.442
USP10	ANKRD28	0.609
USP10	BECN1	0.915
USP10	CDK1	0.246
USP10	CELF1	0.488
USP10	CELF2	0.488
USP10	EIF4G1	0.781
USP10	EIF4G3	0.393
USP10	ERP44	0.298
USP10	FARSA	0.467
USP10	G3BP1	0.998
USP10	G3BP2	0.986
USP10	GAR1	0.362
USP10	HECW2	0.263
USP10	HIST2H2AC	0.313
USP10	IBTK	0.777
USP10	IKBKG	0.399
USP10	KLHDC3	0.193
USP10	KMT2E	0.244
USP10	KRT19	0.36
USP10	KRT8	0.442
USP10	LRRC47	0.275
USP10	MRPL39	0.45
USP10	MSH2	0.377
USP10	NOP56	0.192
USP10	PABPC1	0.395
USP10	PCNA	0.931
USP10	PPP6R1	0.621
USP10	PPP6R3	0.621
USP10	PRKAA1	0.399
USP10	PRKAA2	0.399
USP10	PTEN	0.377
USP10	RPL10	0.155
USP10	SCNN1A	0.285
USP10	SCNN1G	0.285
USP10	SF3B3	0.481
USP10	SIRT6	0.168
USP10	SMC1A	0.444
USP10	SNX3	0.934
USP10	SYNCRIP	0.167
USP10	TANK	0.336
USP10	TBP	0.452
USP10	TBX21	0.36
USP10	TP53	0.935
USP10	TRAF6	0.336
USP10	TRIP13	0.385
USP10	TRPM8	0.774
USP10	TSKS	0.503
USP10	TUBA1A	0.201
USP10	UBC	0.955
USP10	UBE2S	0.788
USP10	UBXN1	0.19
USP10	USP15	0.795
USP10	USP4	0.254
USP10	USP6	0.472
USP10	VPS35	0.455
USP10	WAPL	0.782
USP10	YBX1	0.368
USP10	ZC3H12A	0.336
USP10	ZC3H18	0.774
USP10	ZDHHC17	0.163
USP10	ZNF281	0.51
USP11	ADPRHL1	0.614
USP11	AMOT	0.476
USP11	ATAD3B	0.282
USP11	ATG10	0.151
USP11	ATG4C	0.391
USP11	BMI1	0.2
USP11	BRCA2	0.466
USP11	BUB3	0.614
USP11	CBX8	0.155
USP11	CDC27	0.518
USP11	CLK3	0.214
USP11	CNOT7	0.172
USP11	CNOT8	0.182
USP11	CS	0.623
USP11	CTNNA1	0.365
USP11	CUL4B	0.376
USP11	DDX19B	0.186
USP11	DYRK1B	0.187
USP11	EIF4B	0.619
USP11	FAF1	0.376
USP11	FBXO45	0.488
USP11	FOXP3	0.21
USP11	GARS	0.2
USP11	GIGYF2	0.488
USP11	GTSE1	0.488
USP11	H2AFX	0.365
USP11	HNRNPD	0.208
USP11	IVNS1ABP	0.514
USP11	KCTD6	0.488
USP11	KEAP1	0.62
USP11	KIAA0930	0.491
USP11	KLHL13	0.405
USP11	LRP8	0.156
USP11	MAP1LC3C	0.171
USP11	MAPK14	0.167
USP11	MIER2	0.199
USP11	MOGS	0.152
USP11	MPHOSPH9	0.488
USP11	MRE11	0.526
USP11	MYCBP2	0.623
USP11	ND1	0.488
USP11	NEDD8	0.203
USP11	NET1	0.208
USP11	NUP153	0.266
USP11	OSBP	0.357
USP11	OSBPL10	0.619
USP11	OSBPL9	0.619
USP11	OTUD1	0.341
USP11	OTUD5	0.687
USP11	PAK2	0.261
USP11	PALB2	0.388
USP11	PAM	0.258
USP11	PCGF2	0.247
USP11	PCNP	0.166
USP11	PGAM5	0.614
USP11	PIK3C3	0.787
USP11	PKN2	0.275
USP11	PML	0.383
USP11	POLR1B	0.277
USP11	POLR1C	0.367
USP11	PRMT3	0.355
USP11	PRRC2B	0.367
USP11	RAE1	0.614
USP11	RANBP9	0.691
USP11	RAPGEF2	0.173
USP11	RBM15B	0.503
USP11	RNF4	0.508
USP11	RPA1	0.266
USP11	RPA2	0.25
USP11	SEC23A	0.36
USP11	SIPA1L1	0.528
USP11	SLC25A25	0.488
USP11	SMAD6	0.372
USP11	SMAD7	0.622
USP11	SPRYD3	0.52
USP11	SSX2IP	0.513
USP11	STK11	0.231
USP11	TCEAL1	0.634
USP11	TCEAL2	0.633
USP11	TCEAL4	0.802
USP11	TCEAL9	0.152
USP11	TGFBR1	0.623
USP11	TRIM27	0.774
USP11	TRIP12	0.749
USP11	TUBGCP5	0.17
USP11	UBC	0.446
USP11	UBE2Q1	0.172
USP11	UHRF1BP1	0.79
USP11	VGLL4	0.195
USP11	WRAP53	0.776
USP11	WRNIP1	0.621
USP11	XIAP	0.523
USP11	XPC	0.779
USP11	XPO7	0.357
USP11	ZNF24	0.502
USP11	ZNF598	0.156
USP12	C2orf50	0.325
USP12	CBLB	0.371
USP12	DHX8	0.515
USP12	DMWD	0.973
USP12	HIST2H2AC	0.403
USP12	HIST2H2BE	0.406
USP12	HRH1	0.488
USP12	ITCH	0.441
USP12	LAT	0.336
USP12	MMP2	0.211
USP12	NOTCH1	0.365
USP12	NUP160	0.236
USP12	PAIP1	0.495
USP12	PHLPP1	0.868
USP12	PHLPP2	0.837
USP12	RAD51AP1	0.782
USP12	SDF4	0.488
USP12	SLC18B1	0.782
USP12	TRAT1	0.371
USP12	UBC	0.542
USP12	USP39	0.505
USP12	WDR20	0.999
USP12	WDR26	0.485
USP12	WDR48	0.999
USP12	WDR77	0.373
USP12	ZAP70	0.344
USP13	BAG6	0.778
USP13	ITCH	0.564
USP13	KCTD10	0.614
USP13	KCTD3	0.488
USP13	NTAN1	0.614
USP13	RPP25	0.324
USP13	SCCPDH	0.184
USP13	SERPINC1	0.488
USP13	SLC25A32	0.36
USP13	STAT1	0.369
USP13	TRIM55	0.355
USP13	UBC	0.551
USP13	YTHDF2	0.424
USP14	AC010132.3	0.898
USP14	ADPRHL1	0.19
USP14	ADRM1	0.998
USP14	BCL2L1	0.377
USP14	CCDC22	0.417
USP14	CCNB1	0.399
USP14	CHMP7	0.428
USP14	CNDP2	0.221
USP14	COPS5	0.785
USP14	CXCR4	0.36
USP14	ECD	0.166
USP14	ECHS1	0.355
USP14	EIF3I	0.62
USP14	ERN1	0.671
USP14	FANCC	0.18
USP14	GABBR1	0.36
USP14	GSS	0.178
USP14	HNRNPK	0.508
